platform,title,link,price,location,price_clean
krisha,3-комнатная квартира · 90.1 м² · 14/17 этаж,https://krisha.kz/a/show/761966034?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=590,42 500 000 〒,"Казыбек би р-н, мкр Юго-Восток, Республики 23",42500000
krisha,2-комнатная квартира · 53.6 м² · 5/5 этаж,https://krisha.kz/a/show/761641928?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=591,19 000 000 〒,Жунусалиева,19000000
krisha,4-комнатная квартира · 61 м² · 2/5 этаж,https://krisha.kz/a/show/760091791?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=592,17 000 000 〒,"Пр. Сатпаева 92 — Магазин Универсам, народный банк, площадь",17000000
krisha,2-комнатная квартира · 57 м² · 6/12 этаж,https://krisha.kz/a/show/1005780377?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=593,28 500 000 〒,Кошкарбаева 1140,28500000
krisha,2-комнатная квартира · 66.3 м² · 9/9 этаж,https://krisha.kz/a/show/1000307338?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=594,30 600 000 〒,Каирбекова 31 — Павлова,30600000
krisha,1-комнатная квартира · 43.96 м² · 2/9 этаж,https://krisha.kz/a/show/1005068208?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=595,17 144 400 〒,Микрорайон Береке,17144400
krisha,2-комнатная квартира · 64 м² · 7/9 этаж,https://krisha.kz/a/show/762258847?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=596,23 500 000 〒,"Алматы р-н, А 108 22 — Қарағанды тас жолы",23500000
krisha,3-комнатная квартира · 79.3 м² · 1 этаж,https://krisha.kz/a/show/760839690?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=597,39 500 000 〒,"Турксибский р-н, Майлина",39500000
krisha,4-комнатная квартира · 116 м² · 3/12 этаж,https://krisha.kz/a/show/695279072?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=598,140 000 000 〒,"Алмалинский р-н, Сейфуллина 533 — Сейфулинна толе би",140000000
krisha,3-комнатная квартира · 60 м² · 1/5 этаж,https://krisha.kz/a/show/693295724?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=599,46 000 000 〒,"Бостандыкский р-н, Серкебаева 12 — Тимирязева",46000000
krisha,4-комнатная квартира · 90.4 м² · 4/16 этаж,https://krisha.kz/a/show/685791591?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=600,82 000 000 〒,"Бостандыкский р-н, Абая 150/230 — Каримова",82000000
krisha,1-комнатная квартира · 49.7 м² · 6/10 этаж,https://krisha.kz/a/show/663668920?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=601,38 500 000 〒,"Ауэзовский р-н, мкр Таугуль, Мустай Карима",38500000
krisha,3-комнатная квартира · 62.5 м² · 5/5 этаж,https://krisha.kz/a/show/1005744497?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=602,25 000 000 〒,"р-н Байконур, Бактыораз Бейсекбаева 19 — Кенесары",25000000
krisha,3-комнатная квартира · 88.2 м² · 6/12 этаж,https://krisha.kz/a/show/1005490654?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=603,39 000 000 〒,"Алматы р-н, Каршыга Ахмедьярова 2",39000000
krisha,3-комнатная квартира · 58.1 м² · 5/5 этаж,https://krisha.kz/a/show/1005340222?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=604,30 000 000 〒,"р-н Байконур, Абая 51",30000000
